,listing_id,month,price
25243,118117,7,89.0
25274,118117,8,89.0
25302,305809,6,275.0
25333,305809,7,275.0
25364,305809,8,275.0
25394,305809,9,275.0
25425,305809,10,275.0
25455,305809,11,275.0
25461,305809,12,275.0
25567,118117,9,89.0
25598,118117,10,89.0
27378,137026,2,220.0
27615,307497,11,900.0
27621,307497,12,900.0
27857,137026,6,220.0
27888,137026,7,220.0
27919,137026,8,220.0
27949,137026,9,220.0
28072,137026,10,220.0
28102,137026,11,244.0
28108,137026,12,246.0
28299,137901,1,165.0
28328,137901,2,165.0
29356,141708,4,155.0
29439,53671,1,90.0
29468,53671,2,95.0
29499,53671,3,95.0
29735,53671,5,105.0
29765,53671,6,100.0
29796,53671,7,105.0
29827,53671,8,100.0
29896,53671,10,100.0
29926,53671,11,95.0
29978,309436,1,135.0
30007,309436,2,135.0
30036,53671,12,95.0
30045,309436,3,135.0
30106,309436,5,135.0
30136,309436,6,135.0
30167,309436,7,135.0
30198,309436,8,135.0
30474,309436,9,135.0
30640,309436,10,135.0
30670,309436,11,135.0
30676,309436,12,135.0
31814,311124,1,250.0
31843,311124,2,250.0
31919,162467,1,145.0
31991,162467,2,145.0
32022,162467,3,145.0
32054,311124,3,250.0
32404,311124,4,350.0
32435,311124,5,250.0
32465,311124,6,250.0
32496,311124,7,250.0
32527,311124,8,250.0
32557,311124,9,250.0
32588,311124,10,250.0
32618,311124,11,250.0
32624,311124,12,250.0
32630,162467,4,145.0
32661,162467,5,145.0
32691,162467,6,145.0
32722,162467,7,145.0
32753,162467,8,145.0
32783,162467,9,145.0
32814,162467,10,145.0
32844,162467,11,145.0
32850,162467,12,145.0
33966,165833,11,153.0
34040,168769,1,125.0
34176,311694,1,135.0
34205,311694,2,135.0
34236,311694,3,115.0
35096,55703,1,275.0
35125,55703,2,275.0
35156,55703,3,250.0
35186,55703,4,250.0
35217,55703,5,250.0
35279,55703,6,250.0
35505,55703,7,275.0
35536,55703,8,250.0
35566,55703,9,250.0
35692,55703,10,275.0
35722,55703,11,250.0
35728,55703,12,250.0
36025,169356,4,185.0
36117,169356,7,195.0
36456,55807,5,95.0
36486,55807,6,95.0
36542,55807,7,95.0
37913,56879,1,112.0
37942,56879,2,112.0
37987,315820,1,107.0
38211,315820,4,107.0
38242,315820,5,107.0
38272,315820,6,107.0
38305,56879,3,112.0
38335,56879,4,112.0
38366,56879,5,112.0
38382,315820,7,107.0
38413,315820,8,107.0
38474,315820,10,107.0
38504,315820,11,107.0
38510,315820,12,107.0
38568,171498,1,309.0
38597,171498,2,309.0
38640,56879,6,112.0
38702,56879,8,112.0
38732,56879,9,112.0
38763,56879,10,112.0
38793,56879,11,112.0
38799,56879,12,112.0
38808,171498,3,309.0
38838,171498,4,309.0
38869,171498,5,309.0
39362,319985,6,226.0
39393,319985,7,226.0
39424,319985,8,226.0
39454,319985,9,226.0
39485,319985,10,226.0
39515,319985,11,226.0
39521,319985,12,226.0
39573,171631,1,143.0
39602,171631,2,143.0
39722,171631,3,79.0
39889,171631,4,79.0
39920,171631,5,79.0
39950,171631,6,79.0
39981,171631,7,143.0
40012,171631,8,79.0
40042,171631,9,79.0
40073,171631,10,143.0
40103,171631,11,79.0
40109,171631,12,79.0
40145,441424,11,175.0
40151,441424,12,175.0
40311,441964,1,159.0
40453,441964,2,159.0
40633,441964,3,159.0
40663,441964,4,159.0
40696,441964,5,159.0
40726,441964,6,159.0
